candidate_id,roll_pitch_p,roll_pitch_d,allocation_scale,success_probability,credible_lower,credible_upper,support,exact_evaluation_status,recommendable
p10_d8_a0.9,10.0,8.0,0.9,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p10_d8_a1,10.0,8.0,1.0,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p10_d8_a1.1,10.0,8.0,1.1,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p10_d12_a0.9,10.0,12.0,0.9,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p10_d12_a1,10.0,12.0,1.0,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p10_d12_a1.1,10.0,12.0,1.1,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p10_d20_a0.9,10.0,20.0,0.9,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p10_d20_a1,10.0,20.0,1.0,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p10_d20_a1.1,10.0,20.0,1.1,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p15_d8_a0.9,15.0,8.0,0.9,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p15_d8_a1,15.0,8.0,1.0,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p15_d8_a1.1,15.0,8.0,1.1,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p15_d12_a0.9,15.0,12.0,0.9,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p15_d12_a1,15.0,12.0,1.0,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p15_d12_a1.1,15.0,12.0,1.1,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p15_d20_a0.9,15.0,20.0,0.9,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p15_d20_a1,15.0,20.0,1.0,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p15_d20_a1.1,15.0,20.0,1.1,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p20_d8_a0.9,20.0,8.0,0.9,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p20_d8_a1,20.0,8.0,1.0,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p20_d8_a1.1,20.0,8.0,1.1,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p20_d12_a0.9,20.0,12.0,0.9,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p20_d12_a1,20.0,12.0,1.0,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p20_d12_a1.1,20.0,12.0,1.1,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p20_d20_a0.9,20.0,20.0,0.9,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p20_d20_a1,20.0,20.0,1.0,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
p20_d20_a1.1,20.0,20.0,1.1,,,,NOT_CLASSIFIED,ORACLE_UNAVAILABLE,False
